"month","day","year","temp"
1,1,2019,43.3
1,2,2019,39.4
1,3,2019,41.2
1,4,2019,44.1
1,5,2019,48.6
1,6,2019,48.8
1,7,2019,67.5
1,8,2019,63.8
1,9,2019,57.6
1,10,2019,49.7
1,11,2019,52.7
1,12,2019,57.5
1,13,2019,45.8
1,14,2019,44
1,15,2019,48.6
1,16,2019,50.5
1,17,2019,62.1
1,18,2019,57.3
1,19,2019,57.7
1,20,2019,42.3
1,21,2019,44.2
1,22,2019,61.5
1,23,2019,48.1
1,24,2019,42.3
1,25,2019,47
1,26,2019,51.6
1,27,2019,55.7
1,28,2019,52.4
1,29,2019,47.7
1,30,2019,45.2
1,31,2019,50
2,1,2019,60.1
2,2,2019,62.3
2,3,2019,65.9
2,4,2019,69.4
2,5,2019,70.8
2,6,2019,71.8
2,7,2019,68
2,8,2019,38.8
2,9,2019,36.9
2,10,2019,41.2
2,11,2019,53.5
2,12,2019,59.4
2,13,2019,45.9
2,14,2019,59.8
2,15,2019,65.3
2,16,2019,55
2,17,2019,55.4
2,18,2019,51.6
2,19,2019,45.2
2,20,2019,47.9
2,21,2019,50.9
2,22,2019,53.1
2,23,2019,61.6
2,24,2019,54.9
2,25,2019,50.9
2,26,2019,58.2
2,27,2019,60.8
2,28,2019,49.7
3,1,2019,46.2
3,2,2019,51.6
3,3,2019,46.4
3,4,2019,35.1
3,5,2019,35.8
3,6,2019,40.5
3,7,2019,58.2
3,8,2019,69.7
3,9,2019,75.5
3,10,2019,66
3,11,2019,64
3,12,2019,64.9
3,13,2019,70.9
3,14,2019,71.4
3,15,2019,56.9
3,16,2019,52.1
3,17,2019,54.4
3,18,2019,53.8
3,19,2019,56.1
3,20,2019,59.1
3,21,2019,62.4
3,22,2019,59.8
3,23,2019,67.6
3,24,2019,70.6
3,25,2019,73.3
3,26,2019,64.6
3,27,2019,57.2
3,28,2019,64.4
3,29,2019,68.6
3,30,2019,67
3,31,2019,51.6
4,1,2019,48.3
4,2,2019,52
4,3,2019,61.4
4,4,2019,73.4
4,5,2019,70.3
4,6,2019,71.5
4,7,2019,68.1
4,8,2019,71.5
4,9,2019,64.2
4,10,2019,73
4,11,2019,72.7
4,12,2019,64.8
4,13,2019,68.4
4,14,2019,57.4
4,15,2019,63
4,16,2019,70.7
4,17,2019,74.8
4,18,2019,69.6
4,19,2019,66.4
4,20,2019,62.3
4,21,2019,68.7
4,22,2019,73.4
4,23,2019,70.9
4,24,2019,67.5
4,25,2019,67.9
4,26,2019,70.7
4,27,2019,69.6
4,28,2019,73.3
4,29,2019,75.3
4,30,2019,78.6
5,1,2019,79.4
5,2,2019,74.7
5,3,2019,69.9
5,4,2019,69.8
5,5,2019,72.5
5,6,2019,72.4
5,7,2019,71
5,8,2019,73.2
5,9,2019,78.5
5,10,2019,63.9
5,11,2019,62.7
5,12,2019,68.9
5,13,2019,69.2
5,14,2019,73
5,15,2019,75.2
5,16,2019,75.5
5,17,2019,80.9
5,18,2019,81
5,19,2019,79.6
5,20,2019,83.8
5,21,2019,80.3
5,22,2019,82.2
5,23,2019,84.9
5,24,2019,84
5,25,2019,82.6
5,26,2019,82.4
5,27,2019,80.7
5,28,2019,81.7
