"playerID","totalH","totalAB","avg"
"aaronha01",3771,12364,0.304998382400518
"aaronto01",216,944,0.228813559322034
"abbated01",772,3044,0.253613666228647
"abbeybe01",38,225,0.168888888888889
"abbeych01",493,1756,0.280751708428246
"abbotfr01",107,513,0.208576998050682
"abbotje01",157,596,0.263422818791946
"abbotku01",523,2044,0.25587084148728
"abercre01",86,386,0.22279792746114
"abernbr01",212,868,0.244239631336406
"abnersh01",191,840,0.227380952380952
"abramca01",433,1611,0.268777157045313
"abreubo01",2470,8480,0.29127358490566
"abreujo02",1038,3547,0.29264166901607
"abreuto01",147,579,0.253886010362694
"abstebi01",150,619,0.24232633279483
"ackledu01",512,2125,0.240941176470588
"acostme01",111,436,0.254587155963303
"acunaro01",302,1059,0.285174693106704
"adairje01",1022,4019,0.254292112465788
"adamecr01",70,328,0.213414634146341
"adamewi01",215,819,0.262515262515263
"adamsba01",216,1019,0.211972522080471
"adamsbe01",137,678,0.202064896755162
"adamsbo03",1082,4019,0.269221199303309
"adamsbu01",532,2003,0.265601597603595
"adamsgl01",452,1617,0.279529993815708
"adamshe01",88,337,0.261127596439169
"adamsma01",609,2336,0.260702054794521
"adamsri02",53,247,0.214574898785425
"adamsru01",218,884,0.246606334841629
"adamssp01",1588,5557,0.285765700917761
"adamssp02",101,395,0.255696202531646
"adcocjo01",1832,6606,0.277323645171057
"addisbo01",150,534,0.280898876404494
"adducji02",92,396,0.232323232323232
"addybo01",341,1231,0.277010560519903
"aderhmo01",70,262,0.267175572519084
"adlesda01",43,256,0.16796875
"adriaeh01",246,990,0.248484848484848
"agbaybe01",299,1091,0.274060494958753
"ageeto01",999,3912,0.255368098159509
"agganha01",135,517,0.261121856866538
"aglerjo01",185,751,0.246338215712383
"agnewsa01",314,1537,0.204294079375407
"aguaylu01",260,1104,0.235507246376812
"aguilch01",53,230,0.230434782608696
"aguilje01",293,1143,0.256342957130359
"aguirha01",33,388,0.0850515463917526
"ahmedni01",475,2014,0.235849056603774
"aikenwi01",675,2492,0.270866773675762
"aingeda01",146,665,0.219548872180451
"ainsmed01",707,3048,0.231955380577428
"akersbi01",124,475,0.261052631578947
"albergu01",84,426,0.197183098591549
"alberha01",195,706,0.276203966005666
"albieoz01",418,1496,0.279411764705882
"alcanar01",81,428,0.189252336448598
"alcarlu01",70,365,0.191780821917808
"aldremi01",565,2147,0.263157894736842
"aldrivi01",133,581,0.228915662650602
"alenoch01",67,320,0.209375
"alexada01",811,2450,0.331020408163265
"alexado01",44,265,0.166037735849057
"alexaga01",293,1276,0.229623824451411
"alexama02",293,1271,0.230527143981117
"alexape01",378,1810,0.208839779005525
"alexawa01",76,405,0.187654320987654
"alfarjo01",239,898,0.266146993318486
"alfoned01",1532,5385,0.284493964716806
"alfonel01",142,591,0.240270727580372
"alicelu01",1031,3971,0.259632334424578
"allanan01",357,1486,0.240242261103634
"allenbe01",815,3404,0.239424206815511
"allenbo01",534,2216,0.240974729241877
"allenbr01",70,344,0.203488372093023
"allench01",229,851,0.26909518213866
"allendi01",1848,6332,0.291850915982312
"allenet01",1325,4418,0.299909461294703
"allenfr01",39,288,0.135416666666667
"allenga01",235,1061,0.221489161168709
"allengr01",129,531,0.242937853107345
"allenha02",212,881,0.240635641316686
"allenja02",61,273,0.223443223443223
"allenje01",268,1031,0.259941804073715
"allenjo02",124,716,0.173184357541899
"allenmy01",157,606,0.259075907590759
"allenni01",116,500,0.232
"alleyge01",999,3927,0.254392666157372
"alliega01",83,418,0.198564593301435
"allisar01",188,741,0.253711201079622
"allisbo01",1281,5032,0.254570747217806
"allisdo01",382,1407,0.271499644633973
"almadme01",706,2483,0.284333467579541
"almeira01",77,285,0.270175438596491
