"playerID","yearID","G","AB","H","avg"
"abreujo02",2016,159,624,183,0.293269230769231
"adamecr01",2016,121,225,49,0.217777777777778
"adamsma01",2016,118,297,74,0.249158249158249
"ahmedni01",2016,90,284,62,0.21830985915493
"almonab01",2016,67,182,48,0.263736263736264
"almoral01",2016,47,112,31,0.276785714285714
"alonsyo01",2016,156,482,122,0.253112033195021
"altheaa01",2016,57,198,39,0.196969696969697
"altuvjo01",2016,161,640,216,0.3375
"alvarpe01",2016,109,337,84,0.249258160237389
"amarial01",2016,65,140,36,0.257142857142857
"anderti01",2016,99,410,116,0.282926829268293
"andruel01",2016,147,506,153,0.302371541501976
"aokino01",2016,118,417,118,0.282973621103118
"arciaor01",2016,55,201,44,0.218905472636816
"arciaos01",2016,32,103,22,0.213592233009709
"arenano01",2016,160,618,182,0.294498381877023
"ascheco01",2016,71,197,42,0.213197969543147
"avilaal01",2016,57,169,36,0.21301775147929
"avilemi01",2016,68,167,35,0.209580838323353
"aybarer01",2016,97,335,81,0.241791044776119
"baezja01",2016,142,421,115,0.273159144893112
"bandyje01",2016,70,209,49,0.23444976076555
"barneda01",2016,104,279,75,0.268817204301075
"barnhtu01",2016,115,377,97,0.257294429708223
"bautijo02",2016,116,423,99,0.234042553191489
"beckhgo01",2016,85,240,52,0.216666666666667
"beckhti01",2016,64,198,49,0.247474747474747
"belljo02",2016,45,128,35,0.2734375
"beltbr01",2016,156,542,149,0.274907749077491
"beltrad01",2016,153,583,175,0.300171526586621
"beltrca01",2016,99,359,109,0.303621169916435
"beltrca01",2016,52,193,54,0.27979274611399
"beninan01",2016,34,105,31,0.295238095238095
"bethach01",2016,73,193,44,0.227979274611399
"bettsmo01",2016,158,672,214,0.318452380952381
"blackch02",2016,143,578,187,0.323529411764706
"blancan01",2016,90,190,48,0.252631578947368
"blancgr01",2016,106,241,54,0.224066390041494
"bogaexa01",2016,157,652,192,0.294478527607362
"bourjpe01",2016,123,355,89,0.250704225352113
"bourju01",2016,90,280,74,0.264285714285714
"bournmi01",2016,89,329,86,0.261398176291793
"bradlja02",2016,156,558,149,0.267025089605735
"braunry02",2016,135,511,156,0.305283757338552
"bregmal01",2016,49,201,53,0.263681592039801
"browntr01",2016,75,173,41,0.236994219653179
"broxtke01",2016,75,207,50,0.241545893719807
"bruceja01",2016,97,370,98,0.264864864864865
"bruceja01",2016,50,169,37,0.218934911242604
"bryankr01",2016,155,603,176,0.291873963515755
"burnsbi02",2016,73,274,64,0.233576642335766
"buterdr01",2016,56,123,35,0.284552845528455
"butlebi03",2016,85,221,61,0.276018099547511
"buxtoby01",2016,92,298,67,0.224832214765101
"byrdma01",2016,34,115,31,0.269565217391304
"cabreas01",2016,141,521,146,0.280230326295585
"cabreme01",2016,151,591,175,0.296108291032149
"cabremi01",2016,158,595,188,0.315966386554622
"cabrera01",2016,61,171,42,0.245614035087719
"cainlo01",2016,103,397,114,0.287153652392947
"calhoko01",2016,157,594,161,0.271043771043771
"canoro01",2016,161,655,195,0.297709923664122
"carpema01",2016,129,473,128,0.27061310782241
"carreez01",2016,110,270,67,0.248148148148148
"cartech02",2016,160,549,122,0.222222222222222
"casalcu01",2016,84,226,42,0.185840707964602
"casteni01",2016,110,411,117,0.284671532846715
"castiwe01",2016,113,416,110,0.264423076923077
"castrda01",2016,47,130,26,0.2
"castrja01",2016,113,329,69,0.209726443768997
"castrst01",2016,151,577,156,0.270363951473137
"centeju01",2016,55,176,46,0.261363636363636
"cervefr01",2016,101,326,86,0.263803680981595
"cespeyo01",2016,132,479,134,0.279749478079332
"chiriro01",2016,57,147,33,0.224489795918367
"chiselo01",2016,126,385,110,0.285714285714286
"choiji01",2016,54,112,19,0.169642857142857
"choosh01",2016,48,178,43,0.241573033707865
"coghlch01",2016,51,158,23,0.145569620253165
"coghlch01",2016,48,103,26,0.252427184466019
"collity01",2016,56,136,32,0.235294117647059
"colonch01",2016,54,147,34,0.231292517006803
"confomi01",2016,109,304,67,0.220394736842105
"congeha01",2016,49,124,24,0.193548387096774
"contrwi01",2016,76,252,71,0.281746031746032
"correca01",2016,153,577,158,0.273830155979203
"cozarza01",2016,121,464,117,0.252155172413793
"crawfbr01",2016,155,553,152,0.274864376130199
"crispco01",2016,102,393,92,0.234096692111959
"croncj01",2016,116,407,113,0.277641277641278
"cruzne02",2016,155,589,169,0.286926994906621
"cuthbch01",2016,128,475,130,0.273684210526316
"dahlda01",2016,63,222,70,0.315315315315315
"darnach01",2016,84,233,57,0.244635193133047
"darnatr01",2016,75,251,62,0.247011952191235
"davisch02",2016,157,566,125,0.220848056537102
"daviskh01",2016,150,555,137,0.246846846846847
"davisra01",2016,134,454,113,0.248898678414097
"deazaal01",2016,130,234,48,0.205128205128205
"dejesiv02",2016,104,221,56,0.253393665158371
"descada01",2016,99,250,66,0.264
"deshide02",2016,74,182,38,0.208791208791209
"desmoia01",2016,156,625,178,0.2848
"diazal02",2016,111,404,121,0.299504950495049
"dickeal01",2016,84,253,65,0.256916996047431
"dickeco01",2016,148,510,125,0.245098039215686
"dietrde01",2016,128,351,98,0.279202279202279
"donaljo02",2016,155,577,164,0.2842287694974
"doziebr01",2016,155,615,165,0.268292682926829
"drewst01",2016,70,143,38,0.265734265734266
"drurybr01",2016,134,461,130,0.281995661605206
"dudalu01",2016,47,153,35,0.228758169934641
"duffyma01",2016,70,257,65,0.252918287937743
"duvalad01",2016,150,552,133,0.240942028985507
"dysonja01",2016,107,299,83,0.277591973244147
"eatonad02",2016,157,619,176,0.284329563812601
"eibnebr01",2016,44,109,18,0.165137614678899
"ellisaj01",2016,53,139,27,0.194244604316547
"ellsbja01",2016,148,551,145,0.263157894736842
"encared01",2016,160,601,158,0.262895174708819
"escobal02",2016,162,637,166,0.260596546310832
"escobed01",2016,105,352,83,0.235795454545455
"escobyu01",2016,132,517,157,0.303675048355899
"espinda01",2016,157,516,108,0.209302325581395
"fieldpr01",2016,89,326,69,0.211656441717791
"flahery01",2016,74,157,34,0.21656050955414
"florera02",2016,104,249,51,0.204819277108434
"florewi01",2016,103,307,82,0.267100977198697
"flowety01",2016,83,281,76,0.270462633451957
"forsylo01",2016,127,511,135,0.264187866927593
"fowlede01",2016,125,456,126,0.276315789473684
"francje02",2016,99,257,64,0.249027237354086
"francma02",2016,152,581,148,0.25473321858864
"frankni01",2016,60,174,47,0.270114942528736
"fraziad01",2016,66,146,44,0.301369863013699
"frazito01",2016,158,590,133,0.225423728813559
"freemfr01",2016,158,589,178,0.302207130730051
"freesda01",2016,141,437,118,0.270022883295195
"galvifr01",2016,158,584,141,0.241438356164384
"garciad01",2016,134,532,145,0.272556390977444
"garciav01",2016,120,413,101,0.24455205811138
"garcigr01",2016,99,214,59,0.275700934579439
"gardnbr01",2016,148,547,143,0.261425959780622
"gattiev01",2016,128,447,112,0.250559284116331
"gennesc01",2016,136,498,131,0.263052208835341
