"day","date","county","population","total"
0,2020-03-04,"Dallas",2734111,0
0,2020-03-04,"Harris",4978845,0
0,2020-03-04,"Travis",1291502,0
1,2020-03-05,"Dallas",2734111,0
1,2020-03-05,"Harris",4978845,0
1,2020-03-05,"Travis",1291502,0
2,2020-03-06,"Dallas",2734111,0
2,2020-03-06,"Harris",4978845,0
2,2020-03-06,"Travis",1291502,0
3,2020-03-07,"Dallas",2734111,0
3,2020-03-07,"Harris",4978845,0
3,2020-03-07,"Travis",1291502,0
4,2020-03-08,"Dallas",2734111,0
4,2020-03-08,"Harris",4978845,0
4,2020-03-08,"Travis",1291502,0
5,2020-03-09,"Dallas",2734111,0
5,2020-03-09,"Harris",4978845,0
5,2020-03-09,"Travis",1291502,0
6,2020-03-10,"Dallas",2734111,0
6,2020-03-10,"Harris",4978845,0
6,2020-03-10,"Travis",1291502,0
7,2020-03-11,"Dallas",2734111,0
7,2020-03-11,"Harris",4978845,0
7,2020-03-11,"Travis",1291502,0
8,2020-03-12,"Dallas",2734111,0
8,2020-03-12,"Harris",4978845,0
8,2020-03-12,"Travis",1291502,0
9,2020-03-13,"Dallas",2734111,0
9,2020-03-13,"Harris",4978845,0
9,2020-03-13,"Travis",1291502,0
10,2020-03-14,"Dallas",2734111,0
10,2020-03-14,"Harris",4978845,0
10,2020-03-14,"Travis",1291502,0
11,2020-03-15,"Dallas",2734111,0
11,2020-03-15,"Harris",4978845,0
11,2020-03-15,"Travis",1291502,0
12,2020-03-16,"Dallas",2734111,0
12,2020-03-16,"Harris",4978845,0
12,2020-03-16,"Travis",1291502,0
13,2020-03-17,"Dallas",2734111,0
13,2020-03-17,"Harris",4978845,0
13,2020-03-17,"Travis",1291502,0
14,2020-03-18,"Dallas",2734111,0
14,2020-03-18,"Harris",4978845,0
14,2020-03-18,"Travis",1291502,0
15,2020-03-19,"Dallas",2734111,0
15,2020-03-19,"Harris",4978845,0
15,2020-03-19,"Travis",1291502,0
16,2020-03-20,"Dallas",2734111,1
16,2020-03-20,"Harris",4978845,1
16,2020-03-20,"Travis",1291502,0
17,2020-03-21,"Dallas",2734111,1
17,2020-03-21,"Harris",4978845,1
17,2020-03-21,"Travis",1291502,0
18,2020-03-22,"Dallas",2734111,1
18,2020-03-22,"Harris",4978845,1
18,2020-03-22,"Travis",1291502,0
19,2020-03-23,"Dallas",2734111,3
19,2020-03-23,"Harris",4978845,1
19,2020-03-23,"Travis",1291502,0
20,2020-03-24,"Dallas",2734111,4
20,2020-03-24,"Harris",4978845,1
20,2020-03-24,"Travis",1291502,0
21,2020-03-25,"Dallas",2734111,5
21,2020-03-25,"Harris",4978845,1
21,2020-03-25,"Travis",1291502,0
22,2020-03-26,"Dallas",2734111,7
22,2020-03-26,"Harris",4978845,2
22,2020-03-26,"Travis",1291502,0
23,2020-03-27,"Dallas",2734111,7
23,2020-03-27,"Harris",4978845,2
23,2020-03-27,"Travis",1291502,0
24,2020-03-28,"Dallas",2734111,7
24,2020-03-28,"Harris",4978845,2
24,2020-03-28,"Travis",1291502,1
25,2020-03-29,"Dallas",2734111,9
25,2020-03-29,"Harris",4978845,3
25,2020-03-29,"Travis",1291502,1
26,2020-03-30,"Dallas",2734111,10
26,2020-03-30,"Harris",4978845,4
26,2020-03-30,"Travis",1291502,1
27,2020-03-31,"Dallas",2734111,11
27,2020-03-31,"Harris",4978845,4
27,2020-03-31,"Travis",1291502,1
28,2020-04-01,"Dallas",2734111,13
28,2020-04-01,"Harris",4978845,6
28,2020-04-01,"Travis",1291502,2
29,2020-04-02,"Dallas",2734111,15
29,2020-04-02,"Harris",4978845,6
29,2020-04-02,"Travis",1291502,3
30,2020-04-03,"Dallas",2734111,17
30,2020-04-03,"Harris",4978845,8
30,2020-04-03,"Travis",1291502,3
31,2020-04-04,"Dallas",2734111,17
31,2020-04-04,"Harris",4978845,13
31,2020-04-04,"Travis",1291502,4
32,2020-04-05,"Dallas",2734111,18
32,2020-04-05,"Harris",4978845,17
32,2020-04-05,"Travis",1291502,6
33,2020-04-06,"Dallas",2734111,18
33,2020-04-06,"Harris",4978845,20
33,2020-04-06,"Travis",1291502,6
34,2020-04-07,"Dallas",2734111,18
34,2020-04-07,"Harris",4978845,22
34,2020-04-07,"Travis",1291502,6
35,2020-04-08,"Dallas",2734111,19
35,2020-04-08,"Harris",4978845,23
35,2020-04-08,"Travis",1291502,7
36,2020-04-09,"Dallas",2734111,20
36,2020-04-09,"Harris",4978845,31
36,2020-04-09,"Travis",1291502,7
37,2020-04-10,"Dallas",2734111,22
37,2020-04-10,"Harris",4978845,34
37,2020-04-10,"Travis",1291502,7
38,2020-04-11,"Dallas",2734111,25
38,2020-04-11,"Harris",4978845,40
38,2020-04-11,"Travis",1291502,9
39,2020-04-12,"Dallas",2734111,27
39,2020-04-12,"Harris",4978845,41
39,2020-04-12,"Travis",1291502,9
40,2020-04-13,"Dallas",2734111,31
40,2020-04-13,"Harris",4978845,44
40,2020-04-13,"Travis",1291502,9
41,2020-04-14,"Dallas",2734111,32
41,2020-04-14,"Harris",4978845,46
41,2020-04-14,"Travis",1291502,11
42,2020-04-15,"Dallas",2734111,42
42,2020-04-15,"Harris",4978845,52
42,2020-04-15,"Travis",1291502,14
43,2020-04-16,"Dallas",2734111,43
43,2020-04-16,"Harris",4978845,58
43,2020-04-16,"Travis",1291502,17
