"name","platform","year","genre","publisher","NA_sales","EU_sales","JP_sales","global_sales","critic","user","rating"
"Wii Sports","Wii",2006,"Sports","Nintendo",41.36,28.96,3.77,82.54,76,8,"E"
"Mario Kart Wii","Wii",2008,"Racing","Nintendo",15.68,12.8,3.79,35.57,82,8.3,"E"
"Wii Sports Resort","Wii",2009,"Sports","Nintendo",15.61,10.95,3.28,32.78,80,8,"E"
"Wii Fit","Wii",2007,"Sports","Nintendo",8.92,8.03,3.6,22.7,80,7.7,"E"
"Wii Fit Plus","Wii",2009,"Sports","Nintendo",9.01,8.49,2.53,21.79,80,7.4,"E"
"Grand Theft Auto V","PS3",2013,"Action","Take-Two Interactive",7.02,9.14,0.98,21.12,97,8.2,"M"
"Grand Theft Auto: San Andreas","PS2",2004,"Action","Take-Two Interactive",9.43,0.4,0.41,20.81,95,9,"M"
"Grand Theft Auto V","X360",2013,"Action","Take-Two Interactive",9.66,5.17,0.06,16.3,97,8.1,"M"
"Grand Theft Auto: Vice City","PS2",2002,"Action","Take-Two Interactive",8.41,5.49,0.47,16.15,95,8.7,"M"
"Gran Turismo 3: A-Spec","PS2",2001,"Racing","Sony Computer Entertainment",6.85,5.09,1.87,14.98,95,8.4,"E"
"Call of Duty: Modern Warfare 3","X360",2011,"Shooter","Activision",9.06,4.26,0.13,14.77,88,3.4,"M"
"Call of Duty: Black Ops","X360",2010,"Shooter","Activision",9.73,3.7,0.11,14.67,87,6.3,"M"
"Call of Duty: Black Ops II","PS3",2012,"Shooter","Activision",4.99,5.73,0.65,13.79,83,5.3,"M"
"Call of Duty: Black Ops II","X360",2012,"Shooter","Activision",8.25,4.26,0.07,13.69,83,4.8,"M"
"Call of Duty: Modern Warfare 2","X360",2009,"Shooter","Activision",8.52,3.6,0.08,13.48,94,6.3,"M"
"Call of Duty: Modern Warfare 3","PS3",2011,"Shooter","Activision",5.54,5.73,0.49,13.32,88,3.2,"M"
"Grand Theft Auto III","PS2",2001,"Action","Take-Two Interactive",6.99,4.51,0.3,13.1,97,8.5,"M"
"Call of Duty: Black Ops","PS3",2010,"Shooter","Activision",6,4.37,0.48,12.64,88,6.4,"M"
"Halo 3","X360",2007,"Shooter","Microsoft Game Studios",7.97,2.81,0.13,12.12,94,7.8,"M"
"Gran Turismo 4","PS2",2004,"Racing","Sony Computer Entertainment",3.01,0.01,1.1,11.66,89,8.5,"E"
"Grand Theft Auto IV","X360",2008,"Action","Take-Two Interactive",6.77,3.07,0.14,11.01,98,7.9,"M"
"Gran Turismo 5","PS3",2010,"Racing","Sony Computer Entertainment",2.96,4.82,0.81,10.7,84,7.5,"E"
"Call of Duty: Modern Warfare 2","PS3",2009,"Shooter","Activision",4.99,3.64,0.38,10.6,94,6.3,"M"
"Grand Theft Auto IV","PS3",2008,"Action","Take-Two Interactive",4.77,3.7,0.44,10.51,98,7.5,"M"
"Call of Duty: Ghosts","X360",2013,"Shooter","Activision",6.75,2.58,0.04,10.28,73,2.6,"M"
"Halo: Reach","X360",2010,"Shooter","Microsoft Game Studios",7.06,1.97,0.08,9.9,91,7.9,"M"
"Halo 4","X360",2012,"Shooter","Microsoft Game Studios",6.68,2.3,0.04,9.77,87,7,"M"
"Call of Duty: Ghosts","PS3",2013,"Shooter","Activision",4.1,3.63,0.38,9.37,71,2.6,"M"
"Call of Duty 4: Modern Warfare","X360",2007,"Shooter","Activision",5.95,2.37,0.13,9.35,94,8.4,"M"
"FIFA Soccer 13","PS3",2012,"Action","Electronic Arts",1.07,5.01,0.13,8.17,88,6.5,"E"
"Call of Duty: World at War","X360",2008,"Shooter","Activision",4.83,1.9,0,7.42,84,7.6,"M"
"Battlefield 3","X360",2011,"Shooter","Electronic Arts",4.47,2.11,0.06,7.33,84,7.4,"M"
"Need for Speed Underground","PS2",2003,"Racing","Electronic Arts",3.27,2.83,0.08,7.2,85,8.6,"E"
"Battlefield 3","PS3",2011,"Shooter","Electronic Arts",2.86,2.89,0.35,7.18,85,7.5,"M"
"The Legend of Zelda: Twilight Princess","Wii",2006,"Action","Nintendo",3.74,2.14,0.6,7.16,95,9,"T"
"Need for Speed Underground 2","PS2",2004,"Racing","Electronic Arts",2.71,3.02,0.08,6.9,82,8.6,"E"
"Medal of Honor: Frontline","PS2",2002,"Shooter","Electronic Arts",2.93,2.75,0.17,6.83,88,8.5,"T"
"Gears of War 2","X360",2008,"Shooter","Microsoft Game Studios",4.15,1.9,0.06,6.75,93,7.7,"M"
"Uncharted 3: Drakes Deception","PS3",2011,"Action","Sony Computer Entertainment",2.77,2.75,0.19,6.74,92,8.3,"T"
"Call of Duty 4: Modern Warfare","PS3",2007,"Shooter","Activision",3.11,2.26,0.28,6.69,94,8.4,"M"
"Uncharted 2: Among Thieves","PS3",2009,"Action","Sony Computer Entertainment",3.27,2.2,0.21,6.67,96,8.8,"T"
"Red Dead Redemption","PS3",2010,"Action","Take-Two Interactive",2.8,2.53,0.17,6.51,95,8.9,"M"
"FIFA 14","PS3",2013,"Sports","Electronic Arts",0.79,4.24,0.07,6.48,86,4.3,"E"
"Assassins Creed III","PS3",2012,"Action","Ubisoft",2.65,2.52,0.16,6.46,85,6.9,"M"
"Red Dead Redemption","X360",2010,"Action","Take-Two Interactive",3.71,1.97,0.09,6.35,95,9,"M"
"Halo 3: ODST","X360",2009,"Shooter","Microsoft Game Studios",4.34,1.34,0.06,6.34,83,7.1,"M"
"Gears of War 3","X360",2011,"Shooter","Microsoft Game Studios",4.05,1.59,0.07,6.21,91,7.8,"M"
"Kinect Sports","X360",2010,"Sports","Microsoft Game Studios",3.92,1.73,0.03,6.19,73,7.4,"E10+"
"Gears of War","X360",2006,"Shooter","Microsoft Game Studios",3.54,1.88,0.07,6.09,94,8.3,"M"
"Metal Gear Solid 2: Sons of Liberty","PS2",2001,"Action","Konami Digital Entertainment",2.45,2.01,0.87,6.05,96,8.7,"M"
"Metal Gear Solid 4: Guns of the Patriots","PS3",2008,"Action","Konami Digital Entertainment",2.63,1.71,0.83,5.99,94,8.7,"M"
"The Last of Us","PS3",2013,"Action","Sony Computer Entertainment Europe",2.41,2.19,0.29,5.89,95,9.1,"M"
"LEGO Star Wars: The Complete Saga","Wii",2007,"Action","LucasArts",3.57,1.56,0,5.64,80,8.9,"E10+"
"Assassins Creed II","PS3",2009,"Action","Ubisoft",2.54,1.93,0.21,5.55,91,8.6,"M"
"Forza Motorsport 3","X360",2009,"Racing","Microsoft Game Studios",2.99,1.9,0.1,5.49,92,8,"E"
"Batman: Arkham City","PS3",2011,"Action","Warner Bros. Interactive Entertainment",2.71,1.85,0.11,5.48,96,8.6,"T"
"Call of Duty: World at War","PS3",2008,"Shooter","Activision",2.73,1.83,0,5.4,85,7.6,"M"
"Assassins Creed III","X360",2012,"Action","Ubisoft",3.13,1.69,0.03,5.29,84,6.8,"M"
"Assassins Creed II","X360",2009,"Action","Ubisoft",3.12,1.55,0.08,5.27,90,8.8,"M"
"Madden NFL 2004","PS2",2003,"Sports","Electronic Arts",4.26,0.26,0.01,5.23,94,8.5,"E"
"FIFA Soccer 13","X360",2012,"Action","Electronic Arts",1.09,3.47,0.03,5.17,90,6.1,"E"
"Medal of Honor: Rising Sun","PS2",2003,"Shooter","Electronic Arts",1.98,2.23,0.13,5.13,68,7.6,"T"
"Resident Evil 5","PS3",2009,"Action","Capcom",1.96,1.41,1.08,5.09,84,7.5,"M"
"FIFA Soccer 11","PS3",2010,"Sports","Electronic Arts",0.61,3.28,0.06,5.07,89,8,"E"
"Links Crossbow Training","Wii",2007,"Shooter","Nintendo",3.05,1.17,0.29,4.98,68,7.1,"T"
"Uncharted: Drakes Fortune","PS3",2007,"Action","Sony Computer Entertainment",2.32,1.72,0.12,4.92,88,8.1,"T"
"Madden NFL 06","PS2",2005,"Sports","Electronic Arts",3.98,0.26,0.01,4.91,88,8,"E"
"God of War III","PS3",2010,"Action","Sony Computer Entertainment",2.74,1.34,0.12,4.8,92,8.7,"M"
"Batman: Arkham City","X360",2011,"Action","Warner Bros. Interactive Entertainment",2.99,1.27,0.04,4.73,94,8.7,"T"
"The Lord of the Rings: The Two Towers","PS2",2002,"Action","Electronic Arts",1.94,1.95,0.08,4.67,82,8.2,"T"
"Forza Motorsport 4","X360",2011,"Racing","Microsoft Game Studios",2.08,1.97,0.06,4.57,91,8.2,"E"
"Madden NFL 2005","PS2",2004,"Sports","Electronic Arts",4.18,0.26,0.01,4.53,91,7.9,"E"
"Madden NFL 07","PS2",2006,"Sports","Electronic Arts",3.63,0.24,0.01,4.49,84,8.2,"E"
